class,order,family,Genus,species,wet_Mass_kg,BMR,BMR_unit,temperature,temperature_unit,Reference
Amphibia,Anura,Hylidae,Acris,crepitans,0.00159,0.00026553000000000004,W,15.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008)."
Amphibia,Anura,Phyllomedusidae,Agalychnis,callidryas,0.0056500000000000005,0.0018701500000000003,W,20.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008)."
Amphibia,Caudata,Ambystomatidae,Ambystoma,gracile,0.03039,0.0035252400000000002,W,15.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008)."
Amphibia,Caudata,Ambystomatidae,Ambystoma,jeffersonianum,0.008919999999999999,0.00175724,W,15.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008)."
Amphibia,Caudata,Ambystomatidae,Ambystoma,macrodactylum,0.003414,0.0006111059999999999,W,15.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008)."
Amphibia,Caudata,Ambystomatidae,Ambystoma,maculatum,0.01583,0.0020104100000000002,W,15.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008)."
Amphibia,Caudata,Ambystomatidae,Ambystoma,mexicanum,0.0213,0.0017679,W,22.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008)."
Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,0.0046500000000000005,0.00047895,W,14.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008)."
Amphibia,Caudata,Ambystomatidae,Ambystoma,talpoideum,0.007,0.003108,W,15.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008)."
Amphibia,Caudata,Ambystomatidae,Ambystoma,tigrinum,0.01078,0.0007653799999999999,W,15.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008)."
Amphibia,Caudata,Amphiumidae,Amphiuma,means,0.352,0.004928,W,5.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008)."
Amphibia,Caudata,Amphiumidae,Amphiuma,tridactylum,0.652,0.013692000000000001,W,15.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008)."
Amphibia,Anura,Bufonidae,Anaxyrus,americanus,0.05,0.0077,W,20.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008)."
Amphibia,Anura,Bufonidae,Anaxyrus,boreas,0.0578,0.0058378,W,20.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008)."
Amphibia,Anura,Bufonidae,Anaxyrus,cognatus,0.0402,0.0164418,W,25.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008)."
Amphibia,Anura,Bufonidae,Anaxyrus,debilis,0.00066,0.00046926,W,15.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008)."
Amphibia,Anura,Bufonidae,Anaxyrus,terrestris,0.0198,0.0124542,W,25.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008)."
Amphibia,Anura,Bufonidae,Anaxyrus,woodhousii,0.056299999999999996,0.0124423,W,25.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008)."
