class,rows,unique_genus_species
Teleostei,4258,297
Insecta,828,348
Mammalia,569,490
Malacostraca,454,158
Tree Seedling,418,3
Reptilia,261,197
Amphibia,231,165
Maxillopoda,227,115
Aves,187,161
Tree sapling,119,1
Arachnida,109,52
Gammaproteobacteria,90,49
Chondrichthyes,81,10
Cephalaspidomorphi,68,4
Bacillariophyceae,54,13
Bacilli,51,30
Cyanophyceae,50,20
Chondrostei,46,7
Alphaproteobacteria,45,22
Branchiopoda,42,7
Cephalopoda,35,35
Chlorophyceae,29,7
Prymnesiophyceae,27,3
Betaproteobacteria,21,19
Dinophyceae,19,7
Ciliatea,17,17
Sagittoidea,14,14
Hydrozoa,13,13
Actinobacteria,12,7
Deltaproteobacteria,12,7
Trebouxiophyceae,11,4
Dipnotetrapodomorpha,10,1
Kinetoplastea,10,9
Ostracoda,7,3
Mollicutes,6,4
Xanthophyceae,6,1
Lobosa,5,5
Scyphozoa,5,5
Chrysophyceae,4,1
Euglenophyceae,4,3
Metamonada,4,4
Aconoidasida,3,3
Conoidasida,3,3
Methanobacteria,3,2
Saccharomycetes,3,1
Thermoplasmata,3,1
Discosea,2,2
Methanomicrobia,2,1
Myxini,2,1
Chilopoda,1,1
Chlorobea,1,1
Cladistei,1,1
Clostridia,1,1
Colpodea,1,1
Cryptophyceae,1,1
Dictyostelids,1,1
Epsilonproteobacteria,1,1
Gastropoda,1,1
Halobacteria,1,1
Heliozoa,1,1
Oscillatoriophycideae,1,1
Thermoprotei,1,1
