Species,wet_mass_g,wet_mass_kg,BMR,BMR_unit,temperature,temperature_unit,Food,Habitat,Torpor,Islands,Mountains,source_file,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Agalychnis callidryas,6.0,0.006,0.0246941919747124,W,20.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Ambystoma gracile,22.0,0.022,0.0248011111111111,W,15.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5245.42809510134,-5371.5125355869895,585.5198230162318,-443.0625874385415,-745.9272767006054,-0.9781958542154996,-191.86521015521856,19.95321262347688,0.0518165390428367,0.5786593485044109
Ambystoma jeffersonianum,5.0,0.005,0.0050338888888888,W,15.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5245.42809510134,-5371.5125355869895,585.5198230162318,-443.0625874385415,-745.9272767006054,-0.9781958542154996,-191.86521015521856,19.95321262347688,0.0518165390428367,0.5786593485044109
Ambystoma laterale,4.0,0.004,0.013885316784803,W,21.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5245.42809510134,-5371.5125355869895,585.5198230162318,-443.0625874385415,-745.9272767006054,-0.9781958542154996,-191.86521015521856,19.95321262347688,0.0518165390428367,0.5786593485044109
Ambystoma macrodactylum,2.0,0.002,0.0035605555555555,W,15.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5245.42809510134,-5371.5125355869895,585.5198230162318,-443.0625874385415,-745.9272767006054,-0.9781958542154996,-191.86521015521856,19.95321262347688,0.0518165390428367,0.5786593485044109
Ambystoma tigrinum,38.0,0.038,0.0341322222222222,W,15.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5245.42809510134,-5371.5125355869895,585.5198230162318,-443.0625874385415,-745.9272767006054,-0.9781958542154996,-191.86521015521856,19.95321262347688,0.0518165390428367,0.5786593485044109
Amphiuma means,125.0,0.125,0.1427559132860427,W,18.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5245.42809510134,-5371.5125355869895,585.5198230162318,-443.0625874385415,-745.9272767006054,-0.9781958542154996,-191.86521015521856,19.95321262347688,0.0518165390428367,0.5786593485044109
Amphiuma tridactylum,493.0,0.493,0.1725555555555555,W,25.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5245.42809510134,-5371.5125355869895,585.5198230162318,-443.0625874385415,-745.9272767006054,-0.9781958542154996,-191.86521015521856,19.95321262347688,0.0518165390428367,0.5786593485044109
Aneides lugubris,5.0,0.005,0.0246092143733935,W,23.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Batrachoseps attenuatus,1.0,0.001,0.0031900833446991,W,23.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Bolitoglossa occidentalis,1.0,0.001,0.0013505555555555,W,15.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Bolitoglossa rostrata,3.0,0.003,0.0031922222222222,W,15.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Bolitoglossa subpalmata,2.0,0.002,0.0058990500380243,W,13.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Bombina orientalis,3.0,0.003,0.0101584803106676,W,20.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Colostethus inguinalis,2.0,0.002,0.0093325876024832,W,20.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Dendrobates auratus,2.0,0.002,0.0113333333333333,W,25.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Desmognathus ochrophaeus,2.0,0.002,0.0035857686202513,W,21.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5245.42809510134,-5371.5125355869895,585.5198230162318,-443.0625874385415,-745.9272767006054,-0.9781958542154996,-191.86521015521856,19.95321262347688,0.0518165390428367,0.5786593485044109
