,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Bdellovibrio bacteriovorus,79477.02107959072,1405.5676149126823,-20.064005201490033,6.539751420973831,9.705087477975756,0.010945885948391076,1.7019392894482206,-0.17121382645198424,-0.00044472810095475836,-0.004987746059562642
Syntrophobacter fumaroxidans,79477.02107959146,1405.5676149149067,-20.064005202029676,6.539751421231878,9.705087478229897,0.010945885976772356,1.7019392895780558,-0.17121382646617575,-0.00044472816080751246,-0.004987746087993797
Desulfobulbus propionicus,79477.02107959145,1405.5676149129683,-20.064005198661494,6.539751420523887,9.705087477348014,0.010945885180053176,1.7019392893302006,-0.17121382640665653,-0.0004447285584433917,-0.004987745848453785
Myxococcus xanthus,79477.02107959143,1405.5676149128528,-20.064005201666788,6.539751420933827,9.705087477802788,0.010945885845064991,1.7019392894034693,-0.171213826420822,-0.0004447279933429148,-0.00498774607765745
Desulfovibrio desulfuricans,79477.02107959143,1405.5676149128533,-20.064005201531764,6.539751421142134,9.70508747798261,0.010945885972319982,1.7019392891846743,-0.171213826670729,-0.0004447280988336114,-0.004987746525258441
Methylosinus trichosporium,79477.02107959143,1405.5676149128533,-20.0640052015402,6.53975142023829,9.705087478665932,0.010945885944669938,1.7019392886526226,-0.17121382664702453,-0.00044472810178602864,-0.004987746222915738
Bradyrhizobium japonicum,79477.02107959143,1405.5676149128533,-20.06400520153476,6.539751420993848,9.705087477999093,0.01094588595543377,1.7019392894236518,-0.171213826323991,-0.0004447281137898305,-0.004987746086447799
Nitrobacter winogradskyi,79477.02107959143,1405.5676149128533,-20.064005201534748,6.539751420997041,9.705087477997115,0.010945886502673462,1.7019392894609597,-0.17121382613694913,-0.00044472813489798696,-0.004987746050985996
Azorhizobium caulinodans,79477.02107959143,1405.5676149128533,-20.064005201534748,6.539751420996848,9.705087477997601,0.010945885938619797,1.7019392894657268,-0.1712138263398044,-0.00044472808464670466,-0.004987746071393555
Agrobacterium tumefaciens,79477.02107959143,1405.567614912853,-20.064005201534748,6.539751420996851,9.705087477997589,0.010945885946186989,1.7019392894647845,-0.171213826449,-0.00044472810958466234,-0.004987746065239826
Rhizobium leguminosarum,79477.02107959143,1405.5676149128533,-20.064005201534744,6.539751420996851,9.705087477997589,0.010945885946169034,1.7019392894647825,-0.17121382645305044,-0.000444728101511899,-0.004987746065525071
Aminobacter lissarensis,79477.02107959143,1405.5676149128533,-20.064005201534744,6.53975142099685,9.705087477997589,0.010945885946168785,1.7019392894647825,-0.17121382645304611,-0.000444728068997248,-0.00498774607082726
Brucella melitensis,79477.02107959143,1405.5676149128533,-20.064005201534748,6.53975142099685,9.705087477997589,0.01094588594616889,1.7019392894647822,-0.1712138264529915,-0.0004447281117506898,-0.004987746062236371
Paracoccus denitrificans,79477.02107959143,1405.5676149128533,-20.064005201534748,6.539751420996851,9.70508747799759,0.010945885946169331,1.7019392894647825,-0.17121382645299096,-0.00044472811223092993,-0.004987746061809553
Zymomonas mobilis,79477.02107959143,1405.5676149128533,-20.064005201534748,6.539751420996851,9.70508747799759,0.01094588594616886,1.7019392894647825,-0.17121382645299096,-0.0004447281122294953,-0.0049877460618123716
Acetobacter aceti,79477.02107959143,1405.5676149128533,-20.064005201534748,6.539751420996851,9.70508747799759,0.01094588594616891,1.7019392894647822,-0.171213826452991,-0.0004447281122294397,-0.004987746061812471
Rhodospirillum rubrum,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.17121382645299094,-0.00044472811222943785,-0.004987746061812475
Azospirillum brasilense,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.1712138264529909,-0.0004447281122294375,-0.0049877460618124765
Azospirillum lipoferum,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.1712138264529909,-0.0004447281122294375,-0.0049877460618124765
Halomonas halodenitrificans,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.1712138264529909,-0.0004447281122294375,-0.0049877460618124765
Pseudomonas fluorescens,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.1712138264529909,-0.0004447281122294375,-0.0049877460618124765
Pseudomonas putida,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.1712138264529909,-0.0004447281122294375,-0.0049877460618124765
Azotobacter chroococcum,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.1712138264529909,-0.0004447281122294375,-0.0049877460618124765
Pseudomonas aeruginosa,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.1712138264529909,-0.0004447281122294375,-0.0049877460618124765
Azotobacter vinelandii,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.1712138264529909,-0.0004447281122294375,-0.0049877460618124765
