taxon_name,PC1,PC2,PC3,PC4,PC5
Squalus acanthias,-2756.0476507788853,216.10347744287762,-1994.1446024056104,-588.5221026917169,179.22835837141517
Chiloscyllium plagiosum,-2756.0476507787007,216.10347744283436,-1994.1446024057614,-588.5221026920112,179.22835837143222
Scyliorhinus canicula,-2756.047650778883,216.10347744260994,-1994.144602405614,-588.5221026916923,179.22835837153033
Lepidogalaxias salamandroides,-2756.0476507788835,216.1034774430857,-1994.1446024055758,-588.5221026916943,179.22835837145826
Pseudobathylagus milleri,-2756.047650778883,216.10347744340885,-1994.144602405467,-588.5221026922189,179.2283583715086
Bathylagus antarcticus,-2756.0476507788835,216.1034774428846,-1994.1446024056038,-588.5221026917488,179.22835837132322
Leuroglossus stilbius,-2756.0476507788835,216.10347744287677,-1994.1446024056086,-588.5221026917211,179.22835837153607
Bathylagoides wesethi,-2756.0476507788835,216.10347744287702,-1994.144602405609,-588.5221026917229,179.22835837142162
Lipolagus ochotensis,-2756.0476507788835,216.10347744287705,-1994.1446024056086,-588.522102691723,179.2283583714182
Esox lucius,-2756.0476507788835,216.10347744287705,-1994.1446024056086,-588.522102691723,179.22835837141838
Esox masquinongy,-2756.047650778884,216.10347744287705,-1994.1446024056086,-588.522102691723,179.22835837141835
Oncorhynchus mykiss,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Oncorhynchus tshawytscha,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.5221026917229,179.2283583714183
Oncorhynchus nerka,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Salvelinus namaycush,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Salvelinus alpinus,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Salvelinus fontinalis,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Salmo salar,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Thymallus arcticus,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Coregonus sardinella,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Coregonus autumnalis,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Carapus homei,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Lutjanus campechanus,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Pomadasys commersonnii,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Sparus aurata,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Diplodus sargus,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Acanthopagrus schlegelii,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Lagodon rhomboides,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Balistes capriscus,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Melanocetus johnsonii,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Oneirodes acanthias,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Leiostomus xanthurus,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Tautogolabrus adspersus,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Labrus bergylta,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Kuhlia sandvicensis,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Girella nigricans,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Micropterus salmoides,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Lepomis gibbosus,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Lepomis macrochirus,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Lepomis cyanellus,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Pomoxis annularis,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Etheostoma blennioides,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Sander vitreus,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Sander lucioperca,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Perca fluviatilis,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Sebastolobus altivelis,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Sebastes diploproa,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Scorpaena porcus,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Ophiodon elongatus,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Cottus gobio,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Clinocottus analis,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Myoxocephalus octodecemspinosus,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Myoxocephalus scorpius,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Gasterosteus aculeatus,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Spinachia spinachia,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Melanostigma pammelas,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Melanostigma gelatinosum,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Lycodichthys dearborni,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Zoarces viviparus,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
Anarhichas minor,-2756.047650778884,216.10347744287705,-1994.1446024056083,-588.522102691723,179.2283583714183
