Agalychnis callidryas
Ambystoma gracile
Ambystoma jeffersonianum
Ambystoma laterale
Ambystoma macrodactylum
Ambystoma tigrinum
Amphiuma means
Amphiuma tridactylum
Anaxyrus americanus
Anaxyrus boreas
Anaxyrus cognatus
Anaxyrus retiformis
Anaxyrus woodhousii
Aneides lugubris
Batrachoseps attenuatus
Bolitoglossa occidentalis
Bolitoglossa rostrata
Bolitoglossa subpalmata
Bombina orientalis
Colostethus inguinalis
Dendrobates auratus
Desmognathus ochrophaeus
Desmognathus quadramaculatus
Discoglossus pictus
Dryophytes arenicolor
Dryophytes chrysoscelis
Dryophytes cinereus
Dryophytes gratiosus
Dryophytes squirellus
Dryophytes versicolor
Eleutherodactylus coqui
Engystomops pustulosus
Ensatina eschscholtzi
Epidalea calamita
Eurycea longicauda
Gastrophryne carolinensis
Geotrypetes seraphini
Gyrinophilus porphyriticus
Hydromantes platycephalus
Hyperolius viridiflavus
Incilius alvarius
Kaloula pulchra
Lithobates catesbeianus
Necturus maculosus
Notophthalmus viridescens
Odontophrynus americanus
Osteopilus septentrionalis
Plethodon glutinosus
Plethodon jordani
Plethodon yonahlossee
Pseudacris cadaverina
Pseudacris crucifer
Pseudacris regilla
Pseudoeurycea belli
Pseudoeurycea gadovii
Pseudoeurycea smithii
Pseudoeurycea unguidentis
Pseudotriton ruber
Pyxicephalus adspersus
Rana clamitans
Rana palustris
Rana pipiens
Rana sylvatica
Rhinella marina
Salamandra salamandra
Scaphiopus couchii
Semnodactylus senegalensis
Semnodactylus weali
Smilisca fodiens
Spea hammondii
Taricha torosa
Xenopus laevis
Acris crepitans
Ambystoma maculatum
Ambystoma mexicanum
Ambystoma opacum
Ambystoma talpoideum
Anaxyrus debilis
Anaxyrus terrestris
Aneides ferreus
Aneides flavipunctatus
Aneides hardii
Aquiloeurycea cephalica
Bolitoglossa franklini
Bolitoglossa morio
Boulengerula taitana
Bufo bufo
Bufotes viridis
Ceratophrys calcarata
Chiromantis petersi
Conraua goliath
Crinia parinsignifera
Crinia signifera
Cryptobranchus alleganiensis
Cyclorana platycephala
Dendrotriton bromeliacius
Desmognathus fuscus
Desmognathus monticola
Desmognathus ochrophaes
Dicamptodon ensatus
Eleutherodactylus portoricensis
Euphlyctis cyanophlyctis
Euphlyctis hexadactylus
Eurycea bislineata
Eurycea multiplicata
Eurycea nana
Eurycea neotenes
Eurycea pterophila?
Fejervarya cancrivora
Gastrophryne carolinesis
Gyrinophilus porphyrictus
Hydromantes sp.
Hyla arborea
Hyla maxima
Hylarana chalconota
Hylarana erythraea
Hyperolius marmoratus
Hyperolius parallelus
Hyperolius tuberilinguis
Hypsiboas crepitans
Kassina senegalensis
Kassina weali
Lepidobatrachus llanensis
Leptodactylus fuscus
Limnonectes magnus
Lissotriton vulgaris
Mannophryne trinitatis
Molga torosa
Occidozyga martensii
Pelophylax esculentus
Pelophylax ridibunda
Phyllomedusa sauvagei
Plethodon cinereus
Plethodon dorsalis
Plethodon neomexicanus
Plethodon spp.
Pseudacris nigrita
Pseudacris triseriata
Pseudobranchus striatus
Pseudoeurycea brunnata
Pseudoeurycea cochranae
Pseudoeurycea goebeli
Pseudoeurycea leprosa
Pseudoeurycea rex
Rana arvalis
Rana aspersa
Rana berlandieri
Rana blythi
Rana muscosa
Rana nicobariensis
Rana temporaria
Rana virgatipes
Rhyacotriton olympicus
Salamandra maculosa
Scaphiopus holbrooki
Silverstoneia nubicola
Siren intermedia
Siren lacertina
Smilisca baudinii
Spea bombifrons
Taricha granulosa
Taricha rivularis
Telmatobius culeus
Telmatobius marmoratus
Thorius sp.
Triturus cristatus
