class,species_total,species_a,species_b,species_test,rows_total,rows_a,rows_b,rows_test,included
Teleostei,272,109,109,54,3965,1431,1526,1008,True
Mammalia,418,167,167,84,488,188,195,105,True
Insecta,137,55,55,27,263,115,92,56,True
Reptilia,148,59,59,30,206,79,85,42,True
Amphibia,132,53,53,26,191,74,79,38,True
Malacostraca,51,21,20,10,158,84,59,15,True
Aves,125,50,50,25,148,53,64,31,True
Cephalaspidomorphi,4,1,2,1,68,43,8,17,True
Arachnida,16,7,6,3,53,32,10,11,True
Chondrichthyes,4,1,2,1,49,1,45,3,True
Chondrostei,7,3,3,1,46,18,24,4,True
Maxillopoda,5,2,2,1,17,9,7,1,True
Cephalopoda,14,5,6,3,14,5,6,3,True
