class,rows,weight
Teleostei,3965,0.6962247585601404
Mammalia,488,0.08568920105355575
Insecta,263,0.04618086040386304
Reptilia,206,0.03617208077260755
Amphibia,191,0.03353819139596137
Malacostraca,158,0.02774363476733977
Aves,148,0.025987708516242318
Cephalaspidomorphi,68,0.011940298507462687
Arachnida,53,0.009306409130816505
Chondrichthyes,49,0.008604038630377524
Chondrostei,46,0.008077260755048289
Maxillopoda,17,0.0029850746268656717
Cephalopoda,14,0.0024582967515364355
Branchiopoda,13,0.0022827041264266903
Dipnotetrapodomorpha,10,0.001755926251097454
Myxini,2,0.0003511852502194908
Cladistei,1,0.0001755926251097454
Hydrozoa,1,0.0001755926251097454
Scyphozoa,1,0.0001755926251097454
Sagittoidea,1,0.0001755926251097454
