taxon_name,wet_Mass_kg,temperature,pc1,pc2,pc3,pc4,pc5,BMR
Ambystoma tigrinum,0.038,15.0,5598.896510517717,3349.9932769813536,-691.9632680057476,-762.0525724532442,-1.24058793201322,0.0341322222222222
Anaxyrus boreas,0.025,26.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.1711015181707834
Anaxyrus cognatus,0.04,20.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.3826360917018147
Anaxyrus woodhousii,0.071,20.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.7447074549698387
Aneides lugubris,0.005,23.0,5576.336357395867,3251.300952114882,-717.9909075378489,-1132.363890184269,-78.40944775669506,0.0246092143733935
Bombina orientalis,0.003,20.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.0101584803106676
Discoglossus pictus,0.031,20.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.0674754342586623
Dryophytes arenicolor,0.003,20.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.0234553529124358
Dryophytes chrysoscelis,0.005,20.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.0444330277003186
Dryophytes cinereus,0.01,21.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.0572960049746542
Lithobates catesbeianus,0.403,20.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.7248034407025956
Notophthalmus viridescens,0.001,15.0,5598.896510517717,3349.9932769813536,-691.9632680057476,-762.0525724532442,-1.24058793201322,0.0027011111111111
Plethodon glutinosus,0.004,22.0,5576.336357395867,3251.300952114882,-717.9909075378489,-1132.363890184269,-78.40944775669506,0.0045105048172519
Pseudacris crucifer,0.001,20.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.0112321408313073
Pseudacris regilla,0.004,23.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.0272133640425357
Pseudotriton ruber,0.011,15.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.0125233333333333
Rhinella marina,0.266,25.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,2.109444444444444
Salamandra salamandra,0.008,15.0,5598.896510517717,3349.9932769813536,-691.9632680057476,-762.0525724532442,-1.24058793201322,0.0128916666666666
Smilisca fodiens,0.015,20.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.0494709732202432
Agalychnis callidryas,0.00565,20.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.0027798
Ambystoma gracile,0.03039,15.0,5598.896510517717,3349.9932769813536,-691.9632680057476,-762.0525724532442,-1.24058793201322,0.00777984
Ambystoma jeffersonianum,0.0089199999999999,15.0,5598.896510517717,3349.9932769813536,-691.9632680057476,-762.0525724532442,-1.24058793201322,0.0038801999999999
Ambystoma macrodactylum,0.003414,15.0,5598.896510517717,3349.9932769813536,-691.9632680057476,-762.0525724532442,-1.24058793201322,0.001351944
Amphiuma means,0.352,5.0,5585.398447113545,3290.9505574393543,-707.4263115450286,-982.2260366223594,-47.008336654486506,0.023936
Amphiuma tridactylum,0.652,15.0,5585.398447113545,3290.9505574393543,-707.4263115450286,-982.2260366223594,-47.008336654486506,0.029992
Anaxyrus americanus,0.05,20.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.01145
Anaxyrus boreas,0.0578,20.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.0086699999999999
Batrachoseps attenuatus,0.00093,25.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.00044547
Bolitoglossa occidentalis,0.0009699999999999,15.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.00024832
Bolitoglossa subpalmata,0.00163,5.0,5572.726114627366,3235.501172889663,-722.2652706694223,-1193.046117642803,-91.19814974371164,0.00043032
Colostethus inguinalis,0.00157,20.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.00112726
Dendrobates auratus,0.011,25.0,4140.726113397925,-2903.8072499855743,-180.6908754281064,12.708845745464034,116.75734700491316,0.007249
