9speciesGH
Abramis brama
Abrothrix andinus
Abrothrix longipilis
Abrothrix olivaceus
Acabthodactylus boskianus
Acanthagenys rufogularis
Acanthamoeba (Hartmanella) castellani
Acanthamoeba sp. 1
Acanthephyra acutifrons
Acanthephyra curtirostris
Acanthephyra smithi
Acanthiza chrysorrhoa
Acanthiza lineata
Acanthiza pusilla
Acanthiza uropygialis
Acanthodactylus erythrurus
Acanthodactylus opheodurus
Acanthodactylus pardalis
Acanthodactylus schmidti
Acanthodactylus schreiberi
Acanthodactylus scutellatus
Acanthoderes circumflexa
Acanthopagrus schlegeli
Acanthophis praelongus
Acanthophorus confinis
Acanthorhynchus tenuirostris
Acartia clausi
Acartia latisetosa
Acartia longiremis
Acartia pacifica
Acartia tonsa
Acetobacter aceti
Acetogenium kivui
Acheta domesticus
Acholeplasma laidlawii
Achromobacter ruhlandii
Achromobacter sp. 1
Achromobacter viscosus
Achromobacter xerosis
Aciculioiditermes sp. A
Acidovorax facilis
Acinetobacter baumannii
Acinetobacter calcoaceticus
Acinetobacter johnsonii
Acinetobacter sp. 1
Acinetobacter sp. 2
Acinetobacter sp. 3
Acipenser fulvescens
Acipenser gueldenstaedtii
Acipenser nudiventris
Acipenser ruthenus
Acipenser stellatus
Acipenser transmontanus
Acomys spinosissimus
Acomys subspinosus
Aconaemys fuscus
Acontias meleagris
Acrantophis dumerili
Acridotheres tristis
Acris crepitans
Acrobates pygmaeus
Acrocephalus arundinaceus
Acrocephalus bistrigiceps
Acrochordus aradurae
Acrochordus arafurae
Acrocinus longimanus
Actinosphaerium eichhornii
Adeloneivaia boisduvalii
Adeloneivaia subungulata
Adesmia baccata
Aega sp. 1
Aegina citrea
Aepyprymnus rufescens
Aequidens pulcher
Aerobacter aerogenes
Aethopyga christinae
Aethopyga siparaja
Agalychnis callidryas
Agelenopsis aperta
Aglaeactis cupripennis
Aglantha digitale
Agouti paca
Agrobacterium tumefaciens
Agrypnus bocandei
Ailurus fulgens
