rank,class,species_count,observations,share_percent
1,Teleostei,272,3965,69.6225
2,Mammalia,418,488,8.5689
3,Insecta,137,263,4.6181
4,Reptilia,148,206,3.6172
5,Amphibia,132,191,3.3538
6,Malacostraca,51,158,2.7744
7,Aves,125,148,2.5988
8,Cephalaspidomorphi,4,68,1.1940
9,Arachnida,16,53,0.9306
10,Chondrichthyes,4,49,0.8604
11,Chondrostei,7,46,0.8077
12,Maxillopoda,5,17,0.2985
13,Cephalopoda,14,14,0.2458
14,Branchiopoda,2,13,0.2283
15,Dipnotetrapodomorpha,1,10,0.1756
16,Myxini,1,2,0.0351
17,Cladistei,1,1,0.0176
18,Hydrozoa,1,1,0.0176
19,Sagittoidea,1,1,0.0176
20,Scyphozoa,1,1,0.0176
