model,rmse,mae,r2
M3-L,1.0589195240707492,0.23222794022722204,0.9430927988281175
M2-L,1.3829809238056001,0.263108798677804,0.9029325335363312
M3-XGB,1.792335092665211,0.19936793283351964,0.8369654192261262
M4-XGB,1.8102473084387771,0.20551501371877132,0.8336904701578454
M4-L,2.3558759949607193,0.5066070137437608,-0.0009816385543923722
M1-L,2.583033968656923,0.35234449044520655,0.6613886198473682
M0-XGB,2.6778390958034204,0.33343671105621336,0.6360763574955435
M1-XGB,2.6778390958034204,0.33343671105621336,0.6360763574955435
M2-XGB,2.9010734569208703,0.3286742011928712,0.5728712880607529
M1-RF,3.326377345382882,0.3701343921741458,0.43845528613416973
M0-RF,3.326377345382882,0.37013439217414573,0.43845528613416973
M2-RF,3.3335936223469194,0.3646693974693248,0.43601620164602695
M3-RF,3.336393173216694,0.3561153090742564,0.43506853705784665
M4-RF,3.3369185995034614,0.3647157318961774,0.4348905884778592
M0-L,3.833204774863564,0.409376930590819,0.25429791759751064
