model,rmse_test,mae_test,r2_test
M0-L,0.5697628489958264,0.4483203731168412,0.7850865008477758
M0-RF,0.5439953551901077,0.42678725138946,0.8040858417744198
M0-XGB,0.5520993525014455,0.4305930132696336,0.7982052259468633
M1-L,0.5404779086563894,0.4243057506597008,0.8066111930313871
M1-RF,0.5439953551901077,0.4267872513894601,0.8040858417744198
M1-XGB,0.5520993525014455,0.4305930132696336,0.7982052259468633
M2-L,0.4714911649903548,0.3698987971163119,0.8528288926351036
M2-RF,0.4780297005864455,0.3630058318491486,0.8487187163937652
M2-XGB,0.5005696735069706,0.3872398793213625,0.8341159962233693
M3-L,0.4141468204009939,0.323622259736783,0.8864507938723687
M3-RF,0.3909009574374036,0.2984763955852845,0.898839979732948
M3-XGB,0.4010831314253602,0.30459560277337,0.8935013179300951
M4-PGLS,0.5598322842061128,0.4459002175339062,0.7925127959185082
M4-RF,0.4042603620226146,0.3041946509358568,0.8918073494313802
M4-XGB,0.4151870551144564,0.3150168190657915,0.8858796622760178
Residual-RF,0.4086041446922727,0.3170549709847837,0.8894697952372839
Residual-XGB,0.3851556706878107,0.2955684775730112,0.9017917364569872
