fold,model,max_depth,min_samples_leaf,max_features,trial,fold1_val_rmse,fold1_n_estimators,fold2_val_rmse,fold2_n_estimators,fold3_val_rmse,fold3_n_estimators,fold4_val_rmse,fold4_n_estimators,cv_mean_rmse,cv_std_rmse,n_estimators,is_best,learning_rate
test,random_forest,4.0,5.0,1.0,0.0,0.5751461963992921,100.0,0.5378096346691206,50.0,0.43212782041685255,400.0,0.48000607859399325,250.0,0.5062724325198147,0.05460204969318328,200.0,0,
test,random_forest,6.0,5.0,1.0,1.0,0.5160299184837395,250.0,0.4230646235780018,50.0,0.35796394235985435,50.0,0.42907451471717917,200.0,0.43153324978469365,0.05619139841685673,138.0,0,
test,random_forest,8.0,5.0,1.0,2.0,0.49496851623511756,550.0,0.4117559573821345,100.0,0.35356175002923623,50.0,0.42223196091139803,100.0,0.42062954613947157,0.05026350579819586,200.0,1,
test,xgboost,4.0,,,0.0,0.4498003143082261,905.0,0.5449227329095353,590.0,0.4648447397080697,335.0,0.42612136252086974,886.0,0.4714222873616752,0.04462416144597505,679.0,0,0.01
test,xgboost,4.0,,,1.0,0.44711232305633963,794.0,0.5387482344516351,594.0,0.46540383719950335,166.0,0.42257695655303007,820.0,0.4684603378151271,0.04333230036526479,594.0,1,0.02
test,xgboost,4.0,,,2.0,0.45030415066291624,517.0,0.542597111858216,330.0,0.46380002722882874,110.0,0.42518692489866794,402.0,0.4704720536621572,0.04388629385988438,340.0,0,0.03
test,xgboost,6.0,,,3.0,0.45706765254958615,1000.0,0.5408618121764288,277.0,0.5207747428200203,443.0,0.4181165534945356,410.0,0.48420519026014275,0.049120919280696694,532.0,0,0.01
test,xgboost,6.0,,,4.0,0.4536334124765946,681.0,0.5396891011373377,154.0,0.5205028823687673,243.0,0.41744821561985307,242.0,0.4828184029006382,0.04944547846337928,330.0,0,0.02
test,xgboost,6.0,,,5.0,0.4621543565063954,326.0,0.5392782302270814,105.0,0.5220002201630217,154.0,0.4217270457597495,141.0,0.48628996316406203,0.0469943526228506,182.0,0,0.03
test,xgboost,8.0,,,6.0,0.48207343645618494,405.0,0.5534388942430891,241.0,0.53637519739906,660.0,0.4453541245609344,321.0,0.5043104131648171,0.04304673373245422,407.0,0,0.01
test,xgboost,8.0,,,7.0,0.48106429911378135,194.0,0.5575138819877238,109.0,0.5363374369953867,335.0,0.4473103387452141,165.0,0.5055564892105264,0.043702170513891976,201.0,0,0.02
test,xgboost,8.0,,,8.0,0.47509523724684555,115.0,0.5560422449654846,76.0,0.5345395092235566,242.0,0.4446059911976241,108.0,0.5025707456583778,0.04471023206214623,135.0,0,0.03
