taxon_name,random_forest_m1,xgboost_m1,random_forest_m2,xgboost_m2,random_forest_m3,xgboost_m3,random_forest_m4,xgboost_m4
Abrothrix olivaceus,0.22955630149981673,0.21857698203724213,0.5687027201847689,0.6220988051472398,0.8540228005561862,0.8462279566159971,0.5627939052938211,0.6329945843000108
Acanthiza pusilla,0.02044546159763568,0.02113473884429208,0.10477181991537603,0.2136545810844979,0.9708418828878661,0.9138444853531974,0.9009846032008223,0.38481520389954266
Acanthodactylus pardalis,0.7450715716157315,0.4851096844760564,0.5330517508132271,0.9090478544383541,0.21073413491868595,0.49895653099962495,0.30556478917892016,0.5063400917414543
Acanthodactylus schreiberi,0.6029974039443705,0.26351186948235655,0.21027269029676837,0.4656826018730511,0.4745491660507408,0.9075493956493816,0.6950629819630142,0.81119026928357
Acontias meleagris,0.26002962477115843,0.2779553481922747,0.08184598816676004,0.09881511937334325,0.49066567542094086,0.5348962101555255,0.41588252134485426,0.7045387173438105
Acridotheres cristatellus,0.1853025000634966,0.2035164545243641,0.4063796398243376,0.4290383807336727,0.6360999860320177,0.6604901772203049,0.752222815156162,0.6953080077223335
Acridotheres tristis,0.1493360129242977,0.10129227061940067,0.5543516438352524,0.6564832463865146,0.838450675991959,0.8242487194407551,0.9822721151880568,0.8096615362532033
Akodon azarae,0.12375461512509296,0.10925470366694172,0.7750562064104063,0.7181602457625952,0.9624022579450883,0.9236117715384107,0.7031049705040248,0.6359870321403872
Amara quenseli,0.055057504126026224,0.03186958013817052,0.03723872656782084,0.007853771808351145,0.036039849257777035,0.008440725504589523,0.02098927224803951,0.009940265768252679
Ambassis interrupta,0.7495305966493194,0.7317336708007535,0.30529159317017407,0.29385458709961665,0.4804146138626493,0.514217548499441,0.4720089777633095,0.5786846267920829
Ambystoma talpoideum,0.20319290233897197,0.17500034690918162,0.7268027377255788,0.5658368821664789,0.6113101501478693,0.4646987041481669,0.529370323529851,0.40289327826152554
Anas platyrhynchos,0.344512121890963,0.40163674562337837,0.5470733146868415,0.636338151984155,0.9618730428648982,0.9695543934701074,0.9816630201086739,0.9495036779480319
Anaxyrus debilis,0.8206848074237255,0.9364426805695542,0.49267672823545466,0.5277795103758363,0.4302252788113549,0.30614806600627487,0.6592217467332396,0.5824429987663293
Anguilla anguilla,0.24767811587268593,0.28011937839114626,0.40182312962221345,0.41296231856284854,0.6206876286724637,0.572880557080294,0.5760891875251931,0.34758422088595436
Anguis fragilis,0.1644418830412385,0.14270152236316833,0.18892783012025097,0.1336082140295125,0.54069372128511,0.3824744129413831,0.38406896009282393,0.2790581366392807
Anoura caudifer,0.15083045672294734,0.22435980739705308,0.32678094976419697,0.4429432846187851,0.5986583116461408,0.5981742255907915,0.29331120865049376,0.28763271923363054
Anser anser,0.4120113107863547,0.14808718221810133,0.6803780417083374,0.48501195824924004,0.7757923721492834,0.7476888072900946,0.6155312641277078,0.7991065569683624
Anthus trivialis,0.11478897902078282,0.11010338505827875,0.29521063781585116,0.2667273343075228,0.8962819736642986,0.8085593743253312,0.871333933625443,0.7964992786910475
Antilocapra americana,0.6124689660736891,0.5905385929308045,0.7308484784171334,0.6053709631977318,0.7424588531185365,0.6016233925227854,0.8161204339804194,0.534106590575149
Aotus trivirgatus,0.5594521143789979,0.5410530022560615,0.8945558291827843,0.905766070743733,0.9076996161357757,0.9205610519281264,0.9688355147194297,0.8604766197847092
Apodemus sylvaticus,0.22283084405804177,0.13840659528838656,0.6861603267654078,0.5938470275233276,0.8902061091151825,0.758447435371494,0.6146103851771685,0.46925033814243056
