taxon_name,M1-R,M-MTE,M2-R,M4-R,M4-PGLS,M1-RF,M2-RF,M3-RF,M4-RF,M1-XGB,M2-XGB,M3-XGB,M4-XGB,Residual-RF,Residual-XGB,M3-R
Abrothrix olivaceus,0.12388702735727969,0.43789581267653843,0.39673576790010934,0.2859174110092331,0.37776689222566306,0.22955630149981673,0.5687027201847689,0.8540228005561862,0.5627939052938211,0.21857698203724213,0.6220988051472398,0.8462279566159971,0.6329945843000108,0.8151112605855497,0.881482755078492,0.7294953221972196
Acanthiza pusilla,0.039586609307306446,0.14969959478105344,0.1098079812389488,0.5893824584099193,0.15852293654593155,0.02044546159763568,0.10477181991537603,0.9708418828878661,0.9009846032008223,0.02113473884429208,0.2136545810844979,0.9138444853531974,0.38481520389954266,0.7561352991286059,0.7303609606763424,0.7095899117836058
Acanthodactylus pardalis,0.3462193237431667,0.3196399401371811,0.4265853120678444,0.8083638575435333,0.4989742110605082,0.7450715716157315,0.5330517508132271,0.21073413491868595,0.30556478917892016,0.4851096844760564,0.9090478544383541,0.49895653099962495,0.5063400917414543,0.3370610962281677,0.42515380763359145,0.27757343905209797
Acanthodactylus schreiberi,0.862451974824038,0.1311651579601251,0.1718334858374863,0.5009154368283667,0.2056159672758315,0.6029974039443705,0.21027269029676837,0.4745491660507408,0.6950629819630142,0.26351186948235655,0.4656826018730511,0.9075493956493816,0.81119026928357,0.7902979990410584,0.93102659127081,0.678173860774386
Acontias meleagris,0.3773038651060474,0.08242481326972635,0.1111692345128476,0.21763663763938917,0.08737412398048597,0.26002962477115843,0.08184598816676004,0.49066567542094086,0.41588252134485426,0.27795534819227485,0.09881511937334325,0.5348962101555255,0.7045387173438105,0.7943014163274199,0.8184312925209385,0.6491228311245542
Acridotheres cristatellus,0.10542183560003131,0.12013662943437499,0.14281801458154092,0.5552187215386745,0.16162958209965406,0.1853025000634966,0.4063796398243376,0.6360999860320177,0.752222815156162,0.2035164545243641,0.4290383807336727,0.6604901772203049,0.6953080077223335,0.8341979119614826,0.7555711658495884,0.8439094760467626
Acridotheres tristis,0.13485613899640714,0.3025668182625184,0.34487071568303246,0.4140587661753564,0.29001063810936156,0.1493360129242977,0.5543516438352524,0.838450675991959,0.9822721151880568,0.10129227061940067,0.6564832463865146,0.8242487194407551,0.8096615362532033,0.7403321174028604,0.9094807458484767,0.6557883565209354
Akodon azarae,0.13440616403667463,0.40705763939908507,0.36323411860633353,0.2691112549396428,0.38327220447762694,0.12375461512509296,0.7750562064104063,0.9624022579450883,0.7031049705040248,0.10925470366694172,0.7181602457625952,0.9236117715384107,0.6359870321403872,0.7816952282036049,0.8840738291025806,0.6885597144806611
Amara quenseli,0.04651385208326804,0.0076425296546565975,0.026451137377750247,0.028566356078353988,0.00412572518369362,0.055057504126026224,0.03723872656782084,0.036039849257777035,0.02098927224803951,0.03186958013817052,0.007853771808351145,0.008440725504589523,0.009940265768252679,0.013536976778481688,0.009806529055355714,0.022408603360087896
Ambassis interrupta,0.34114797720919526,0.14327945381399626,0.22426695796850601,0.48734477828641304,0.092710120512929,0.7495305966493194,0.30529159317017407,0.48041461386264955,0.4720089777633095,0.7317336708007535,0.29385458709961665,0.514217548499441,0.5786846267920829,0.442110935114187,0.4489144271574482,0.3724112482844513
Ambystoma talpoideum,0.32319170580930134,0.5441876627213216,0.6706805842206452,0.47254629327123987,0.20094811959328351,0.20319290233897197,0.7268027377255788,0.6113101501478693,0.529370323529851,0.17500034690918162,0.5658368821664789,0.4646987041481669,0.40289327826152554,0.3383559166071747,0.3975268212317009,0.40422633603293784
Anas platyrhynchos,0.25263472722522806,0.189065559640871,0.3205613332447023,0.7206569652363478,0.23474508037527717,0.344512121890963,0.5470733146868415,0.9618730428648982,0.9816630201086739,0.40163674562337837,0.636338151984155,0.9695543934701074,0.9495036779480319,0.7902073531025816,0.7960565013545238,0.7166680005269104
Anaxyrus debilis,0.4474311887265965,0.4828884259157284,0.8663752114624268,0.7638759171151484,0.16379787893799028,0.8206848074237255,0.49267672823545466,0.4302252788113549,0.6592217467332396,0.9364426805695542,0.5277795103758363,0.30614806600627487,0.5824429987663293,0.5154459597399361,0.46100680912194736,0.4323536813465596
Anguilla anguilla,0.26257290175567,0.40985652267921796,0.3574208331231945,0.5400338620579513,0.21164922140361803,0.24767811587268593,0.40182312962221345,0.6206876286724637,0.5760891875251931,0.28011937839114626,0.41296231856284854,0.572880557080294,0.34758422088595436,0.44110756571385573,0.4332634642173393,0.6081846246310136
Anguis fragilis,0.24615245958352935,0.08179639935803812,0.10029652396395984,0.19897562200631946,0.07472334486434296,0.1644418830412385,0.18892783012025097,0.54069372128511,0.38406896009282393,0.14270152236316833,0.1336082140295125,0.3824744129413831,0.2790581366392807,0.4861232663297086,0.52423992236457,0.5420496953240689
Anoura caudifer,0.06438029075237973,0.11214215099681173,0.0931742477332673,0.080983434893583,0.16360242863893104,0.15083045672294734,0.32678094976419697,0.5986583116461408,0.29331120865049376,0.22435980739705308,0.4429432846187851,0.5981742255907915,0.28763271923363054,0.41035230351107677,0.48427519324404134,0.35223351533289
Anser anser,0.28511105700049527,0.17152904857427362,0.3496815239169946,0.5948968650818964,0.2042801727738003,0.4120113107863547,0.6803780417083374,0.7757923721492834,0.6155312641277078,0.14808718221810133,0.48501195824924004,0.7476888072900946,0.7991065569683624,0.8634897715862102,0.8190167454915542,0.7699439542655869
Anthus trivialis,0.07493640989710498,0.11794443529733899,0.1067530445098626,0.627741366285325,0.16876919623720135,0.11478897902078282,0.29521063781585116,0.8962819736642986,0.871333933625443,0.11010338505827875,0.2667273343075228,0.8085593743253312,0.7964992786910475,0.8392776162748871,0.8473098844762856,0.7976766759459292
Antilocapra americana,0.555642483405444,0.2137343877135399,0.6356289348160162,0.4481849455687771,0.23371993045112083,0.6124689660736891,0.7308484784171334,0.7424588531185365,0.8161204339804194,0.5905385929308045,0.6053709631977318,0.6016233925227856,0.534106590575149,0.9103057057548319,0.9319079116060065,0.8016220793312774
Aotus trivirgatus,0.3833764442695366,0.4693891969509785,0.49296348792990896,0.4238485674799106,0.4803762739520086,0.5594521143789979,0.8945558291827843,0.9076996161357757,0.9688355147194297,0.5410530022560615,0.905766070743733,0.9205610519281264,0.8604766197847092,0.8709216248404017,0.8991437423976296,0.7807021510138719
Apodemus sylvaticus,0.11888051941480185,0.3030637267050005,0.2737105140051118,0.20932319877598576,0.3142869893761618,0.22283084405804177,0.6861603267654078,0.8902061091151825,0.6146103851771685,0.13840659528838656,0.5938470275233276,0.758447435371494,0.46925033814243056,0.7282771342691288,0.7850113729398399,0.6389756369218309
Apteryx haastii,0.5631758473876826,0.35734031537278604,0.696468529908132,0.4446786481132488,0.4299152506476391,0.2549094963226306,0.8420046393458286,0.7209498094275135,0.5236432180301124,0.31319909979773014,0.9499728383123267,0.5984078956748654,0.6822923934164143,0.4978209504582535,0.5645347935714359,0.37190287088571133
Apus apus,0.1262973200845306,0.17021159419293874,0.17562613165887772,0.13360914021547782,0.23645085519029838,0.08772096858983999,0.5590284974262231,0.9540238236944507,0.6590393842896795,0.16157440914121798,0.5132929963169297,0.8969464071018637,0.5437865179974993,0.569466340790027,0.7298418007417588,0.8529952247413075
Arborimus longicaudus,0.08487311315026785,0.1310596280493231,0.12055006393518732,0.10304387646992509,0.18685425355225677,0.32750559278383246,0.6200237726490048,0.6934973911594652,0.486505585652608,0.27240400513438207,0.4404889992205617,0.5755980333701463,0.3118585683258709,0.4846839911270437,0.5617321053307385,0.4175181039494154
Arborimus pomo,0.08518958916540445,0.4999697739245072,0.43176891080689167,0.29656077305452244,0.3590302865999539,0.3287268000789587,0.302143587367597,0.7248353302420812,0.448971741180503,0.2734197488823409,0.5891480806203144,0.6536452112497533,0.6627097349985542,0.7522580104633514,0.6974193795181811,0.8200169992135118
Arenaria interpres,0.11506654031625992,0.13603844520722677,0.1567788985963648,0.1291454426636909,0.18431264997362135,0.22108885861627767,0.48312872878728624,0.7961762277988246,0.527238449723478,0.17634695011398424,0.41967593600763003,0.8133672592701912,0.42100469735332346,0.9392618981871119,0.8809364315667644,0.9514953912103686
Artibeus lituratus,0.15536572517800282,0.49134588009044566,0.5163712344043512,0.35958338311637067,0.3967342940911372,0.24489502171647515,0.6347655628682876,0.873809462435078,0.6331074351978154,0.10423642303595576,0.7256299850129947,0.7587326965689687,0.7178558900760084,0.7323523768161746,0.8214234356944672,0.6476262938154569
