pipeline,split,model,algo,params,train_R2_mean,train_R2_sd,train_RMSE_mean,train_RMSE_sd,test_R2_mean,test_R2_sd,test_RMSE_mean,test_RMSE_sd
avg,random,m1,lm,{},0.840669900497694,0.0024742098566630836,0.6112690432366492,0.0029933469793189302,0.8386127863619703,0.010632020380640069,0.6130358977704898,0.012683862584845041
avg,random,m1,xgb,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.05}",0.8681239725120333,0.002880151129608687,0.5560948432200479,0.004359220125493097,0.8354528712712981,0.012820207826092292,0.6188088349683192,0.01636828753327185
avg,random,m1,xgb,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1}",0.8745058112472124,0.0029673960195705893,0.5424670278857289,0.0049430086259222355,0.8280254415901975,0.012606959628795567,0.6327598632352478,0.018040162336245318
avg,random,m1,xgb,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05}",0.8741629117592383,0.0028494187015602013,0.5432138899341483,0.0049167101189833366,0.8296325321289209,0.011526815798714021,0.6298653170800079,0.015788146405087407
avg,random,m1,xgb,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.1}",0.8796407393768433,0.002902752398626985,0.5312575409351972,0.0056190991080306875,0.8206176207998711,0.012862674213989008,0.6463203200702988,0.019711440633513315
avg,random,m1,xgb,"{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.05}",0.8820539436276432,0.0028364064801393797,0.5259056281878788,0.005600198617540988,0.8151544448952313,0.012656164276921287,0.65616477377102,0.020147062180592295
avg,random,m1,xgb,"{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.1}",0.883940811262591,0.002875743261006611,0.5216816415166512,0.005950927078884893,0.8058097646296783,0.013033396961969947,0.6726327251551897,0.022202851718345292
avg,random,m1,xgb,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.05}",0.8718297588747748,0.0029959963379867197,0.5482183412393768,0.004557803714315681,0.8313391602566782,0.012690383252156608,0.626538930650593,0.01596282954311555
avg,random,m1,xgb,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.1}",0.8780362523782008,0.0029989660201539987,0.5347822661815587,0.0055240402303205205,0.8218040593214597,0.012664560993961953,0.6441345712535929,0.017756645280812777
avg,random,m1,xgb,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05}",0.8778283319780688,0.0030042020939409905,0.5352362206228753,0.00535526668160593,0.8236008244126305,0.011694597485383233,0.6409649138348466,0.016994900458004367
avg,random,m1,xgb,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1}",0.8820458734423307,0.0029497597375957915,0.5259203812382564,0.005892317803757697,0.813162004154551,0.013597598120939594,0.6596112927222209,0.020956709500501627
avg,random,m1,xgb,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.05}",0.8835861408981982,0.0029090132516889954,0.5224757260303713,0.005867058896611763,0.8082761828312819,0.013040427167600597,0.6682750453855332,0.020738161196198375
avg,random,m1,xgb,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1}",0.8843076100313306,0.002925943077590345,0.5208542133649419,0.006024726393626834,0.8008127384789552,0.0128645063250102,0.6812704630124025,0.021886469778820354
avg,random,m1,rf,"{'n_estimators': 300, 'max_depth': 6, 'min_samples_leaf': 1}",0.8803004154813395,0.0021998333469710647,0.5298150382107779,0.0036292031313879744,0.8358917119282694,0.01227331411852674,0.6180844209738053,0.017273943197433552
avg,random,m1,rf,"{'n_estimators': 300, 'max_depth': 6, 'min_samples_leaf': 3}",0.875174907276252,0.00245082715623013,0.5410327728122292,0.003684538242185239,0.8344807834175022,0.011671652439181213,0.6208306349951175,0.017455840801220198
avg,random,m1,rf,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 1}",0.9255820376865079,0.0027889612490569816,0.4177007615098976,0.0076069599764955875,0.8184957552658065,0.016521572687586628,0.6497861149807956,0.02269573240674301
avg,random,m1,rf,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 3}",0.8978668652056598,0.0023981461062500494,0.48938297310548967,0.004788191472349949,0.8219437506464805,0.012834409445074272,0.6438882744460925,0.018372763978970332
avg,random,m1,rf,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 1}",0.9570653230151749,0.0022461411367017377,0.31722874552669295,0.008752833107875174,0.787591007068114,0.02058854416488144,0.7030211531541526,0.03041106612200792
avg,random,m1,rf,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 3}",0.9047519798284472,0.001977822640587132,0.47261297257758617,0.004567633963576434,0.8151788824683109,0.013485090527446326,0.6560518361137522,0.020720330785243313
avg,random,m2,lm,{},0.8794166526568452,0.0022245963194395244,0.5317686958624439,0.003889245024319832,0.8775997177437131,0.009487784681852135,0.5337812611338577,0.015794157684306392
avg,random,m2,xgb,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.05}",0.9160172746253685,0.0012838328627964395,0.44379269684972583,0.0023073307314852294,0.8913666968216063,0.00914604170353768,0.5027975096715093,0.018594963724290727
avg,random,m2,xgb,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1}",0.924788060690596,0.0013672106534343826,0.4199689074575888,0.0020386108814631747,0.8915723202307924,0.007640288861872726,0.5024396832823659,0.012870525554634903
avg,random,m2,xgb,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05}",0.923382565549181,0.001204096272390197,0.42388292534200056,0.001903452774761755,0.8896102365493537,0.00837882780858132,0.5069473167484135,0.01640445099283536
avg,random,m2,xgb,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.1}",0.9315935645695557,0.0012899963212348986,0.4005165044400599,0.0021242342424307933,0.8872063779740863,0.007439163499335261,0.5125164648515579,0.012334572581607894
