"taxon_name","class","order","family","Genus","species","wet_Mass_g","wet_Mass_kg","temperature","temperature_unit","Reference","log_mass","log_BMR","inv_kT","row_id","temp_K","pc1","pc2","pc3","pc4","pc5","removed_due_bad_branch","in_phylogeny","fixed_only_log_BMR","conditional_log_BMR"
"Agalychnis callidryas","Amphibia","Anura","Phyllomedusidae","Agalychnis","callidryas",6,0.006,20,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-5.11599580975408,-4.09768346348762,39.5871292029482,0,293.15,-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.00293293133310313,FALSE,TRUE,-5.45670107487008,-5.18086670236797
"Agalychnis callidryas","Amphibia","Anura","Phyllomedusidae","Agalychnis","callidryas",5.65,0.00565,20,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-5.17609973382379,-6.28173663742886,39.5871292029482,37,293.15,-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.00293293133310313,FALSE,TRUE,-5.50373957396032,-5.22790520145819
"Ambystoma jeffersonianum","Amphibia","Caudata","Ambystomatidae","Ambystoma","jeffersonianum",5,0.005,15,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-5.29831736654804,-6.08455497017403,40.2740479814134,1,288.15,-5161.75961412521,3001.3884308578,9.63443467555201,-0.806028876738105,-0.00210493701184144,FALSE,TRUE,-5.88492044659436,-6.76579580675578
"Ambystoma jeffersonianum","Amphibia","Caudata","Ambystomatidae","Ambystoma","jeffersonianum",8.9199999999999,0.0089199999999999,15,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-4.71945933239023,-6.34401088263437,40.2740479814134,38,288.15,-5161.75961412521,3001.3884308578,9.63443467555201,-0.806028876738105,-0.00210493701184144,FALSE,TRUE,-5.4318948990189,-6.3127702591803
"Ambystoma tigrinum","Amphibia","Caudata","Ambystomatidae","Ambystoma","tigrinum",38,0.038,15,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-3.27016911925575,-4.17050592318767,40.2740479814134,2,288.15,-5161.75961412521,3001.3884308578,9.63443467555201,-0.806028876738105,-0.00210493701184144,FALSE,TRUE,-4.29765221142062,-5.26292453499576
"Ambystoma tigrinum","Amphibia","Caudata","Ambystomatidae","Ambystoma","tigrinum",10.78,0.01078,15,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-4.53006271350129,-7.17513811544224,40.2740479814134,40,288.15,-5161.75961412521,3001.3884308578,9.63443467555201,-0.806028876738105,-0.00210493701184144,FALSE,TRUE,-5.28366942417352,-6.24894174774866
"Amphiuma means","Amphibia","Caudata","Amphiumidae","Amphiuma","means",125,0.125,18,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-2.07944154167984,-2.50171376810438,39.8590655189568,3,291.15,-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.00293293133310313,FALSE,TRUE,-3.193270240048,-3.86139687718143
"Amphiuma means","Amphibia","Caudata","Amphiumidae","Amphiuma","means",352,0.352,5,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-1.04412410338404,-5.31282205275092,41.7219734885647,41,278.15,-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.00293293133310313,FALSE,TRUE,-3.15736415388513,-3.82549079101856
"Anaxyrus americanus","Amphibia","Anura","Bufonidae","Anaxyrus","americanus",30,0.03,20,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-3.50655789731998,-1.68470039693465,39.5871292029482,4,293.15,-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.00293293133310313,FALSE,TRUE,-4.19712368534662,-3.53965042640194
"Anaxyrus americanus","Amphibia","Anura","Bufonidae","Anaxyrus","americanus",50,0.05,20,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-2.99573227355399,-4.8665349501225,39.5871292029482,42,293.15,-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.00293293133310313,FALSE,TRUE,-3.79734162434636,-3.13986836540169
"Anaxyrus cognatus","Amphibia","Anura","Bufonidae","Anaxyrus","cognatus",40,0.04,20,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-3.2188758248682,-1.35716715146165,39.5871292029482,5,293.15,-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.00293293133310313,FALSE,TRUE,-3.97197810437576,-3.27387638675885
"Anaxyrus cognatus","Amphibia","Anura","Bufonidae","Anaxyrus","cognatus",40.2,0.0402,25,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-3.21388828335716,-4.1079284062965,38.9232497932056,43,298.15,-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.00293293133310313,FALSE,TRUE,-3.69212053540685,-2.99401881778992
"Anaxyrus woodhousii","Amphibia","Anura","Bufonidae","Anaxyrus","woodhousii",71,0.071,20,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-2.64507540194082,-0.691260073378395,39.5871292029482,6,293.15,-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.00293293133310313,FALSE,TRUE,-3.52291074164336,-2.8619054415912
"Anaxyrus woodhousii","Amphibia","Anura","Bufonidae","Anaxyrus","woodhousii",56.2999999999999,0.0562999999999999,25,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-2.87706074383649,-4.38665332130088,38.9232497932056,45,298.15,-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.00293293133310313,FALSE,TRUE,-3.42851275677101,-2.76750745671886
"Aneides lugubris","Amphibia","Caudata","Plethodontidae","Aneides","lugubris",5.58,0.00558,15,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-5.18856650258892,-7.09237547562572,40.2740479814134,47,288.15,-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.00293293133310313,FALSE,TRUE,-5.79902728746373,-6.20329793490954
"Aneides lugubris","Amphibia","Caudata","Plethodontidae","Aneides","lugubris",5,0.005,23,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-5.29831736654804,-3.86323284125872,39.1861115172861,7,296.15,-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.00293293133310313,FALSE,TRUE,-5.43269876869272,-5.83696941613851
