"taxon_name","class","order","family","Genus","species","wet_Mass_g","wet_Mass_kg","BMR","BMR_unit","temperature","temperature_unit","Reference","log_mass","log_BMR","inv_kT","row_id","temp_K","pc1","pc2","pc3","pc4","pc5","removed_due_bad_branch","in_phylogeny","fixed_only_log_BMR","fixed_only_BMR","conditional_log_BMR","conditional_BMR"
"Ambystoma gracile","Amphibia","Caudata","Ambystomatidae","Ambystoma","gracile",22,0.022,0.0248011111111111,"W",15,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-3.81671282562382,-3.69686682394744,40.2740479814134,0,288.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-4.07495431933383,0.0169929909103846,-4.70475500234515,0.00905213169729028
"Ambystoma gracile","Amphibia","Caudata","Ambystomatidae","Ambystoma","gracile",30.39,0.03039,0.00777984,"W",15,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-3.49364167205344,-4.85621950655601,40.2740479814134,46,288.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-3.82048910580927,0.0219170785018656,-4.45028978882062,0.011675183142568
"Ambystoma jeffersonianum","Amphibia","Caudata","Ambystomatidae","Ambystoma","jeffersonianum",5,0.005,0.0050338888888888,"W",15,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-5.29831736654804,-5.29156245464435,40.2740479814134,1,288.15,-5463.52186819174,2899.74159249874,8.67803683342492,-0.676783266230328,0.00155564083056903,FALSE,TRUE,-5.24193197022796,0.00529002678272398,-5.92702307692038,0.00266640787669154
"Ambystoma jeffersonianum","Amphibia","Caudata","Ambystomatidae","Ambystoma","jeffersonianum",8.92,0.0089199999999999,0.0038801999999999,"W",15,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-4.71945933239023,-5.5518685802837,40.2740479814134,47,288.15,-5463.52186819174,2899.74159249874,8.67803683342492,-0.676783266230328,0.00155564083056903,FALSE,TRUE,-4.7859976299611,0.00834579357969684,-5.47108873665349,0.0042066497301715
"Ambystoma macrodactylum","Amphibia","Caudata","Ambystomatidae","Ambystoma","macrodactylum",3.414,0.003414,0.001351944,"W",15,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-5.67987065460989,-6.60621172233754,40.2740479814134,48,288.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-5.54246031466433,0.00391687822092992,-6.21376972064543,0.00200167745862729
"Ambystoma macrodactylum","Amphibia","Caudata","Ambystomatidae","Ambystoma","macrodactylum",2,0.002,0.0035605555555555,"W",15,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-6.21460809842219,-5.63783869136218,40.2740479814134,2,288.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-5.96364331511326,0.00257052964152011,-6.63495272109434,0.00131364085119364
"Ambystoma tigrinum","Amphibia","Caudata","Ambystomatidae","Ambystoma","tigrinum",10.78,0.01078,0.00169246,"W",15,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-4.53006271350129,-6.38157218713511,40.2740479814134,53,288.15,-5463.60534431407,2900.87504345145,8.67320376250161,-0.676532351367968,0.00155421665850336,FALSE,TRUE,-4.63682042694008,0.00968845385265625,-5.46650674569929,0.00422596878725529
"Ambystoma tigrinum","Amphibia","Caudata","Ambystomatidae","Ambystoma","tigrinum",38,0.038,0.0341322222222222,"W",15,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-3.27016911925575,-3.377513407658,40.2740479814134,3,288.15,-5463.60534431407,2900.87504345145,8.67320376250161,-0.676532351367968,0.00155421665850336,FALSE,TRUE,-3.64447218125228,0.0261352008630125,-4.47415850001152,0.0113998110302661
"Amphiuma means","Amphibia","Caudata","Amphiumidae","Amphiuma","means",125,0.125,0.142755913286043,"W",18,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-2.07944154167984,-1.94661900723362,39.8590655189568,4,291.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-2.61916615529814,0.0728635944257267,-3.15132363883216,0.0427954436502078
"Amphiuma means","Amphibia","Caudata","Amphiumidae","Amphiuma","means",352,0.352,0.023936,"W",5,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-1.04412410338404,-3.73237167719007,41.7219734885647,54,278.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-2.19621523156243,0.111223317259406,-2.72837271509645,0.0653255064326543
"Anaxyrus americanus","Amphibia","Anura","Bufonidae","Anaxyrus","americanus",30,0.03,0.275765575262758,"W",20,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-3.50655789731998,-1.28820413916982,39.5871292029482,5,293.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-3.68593002506238,0.0250738445724206,-3.32079234059454,0.0361241977432828
"Anaxyrus americanus","Amphibia","Anura","Bufonidae","Anaxyrus","americanus",50,0.05,0.01145,"W",20,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-2.99573227355399,-4.46976554898189,39.5871292029482,55,293.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-3.28358103788452,0.0374937495755088,-2.9184433534167,0.0540177083690054
"Anaxyrus woodhousii","Amphibia","Anura","Bufonidae","Anaxyrus","woodhousii",71,0.071,0.744707454969839,"W",20,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-2.64507540194082,-0.294763815613564,39.5871292029482,6,293.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-3.00738808558042,0.0494205926897687,-2.64012078911393,0.0713526504124276
"Anaxyrus woodhousii","Amphibia","Anura","Bufonidae","Anaxyrus","woodhousii",56.3,0.0562999999999999,0.0124423,"W",25,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-2.87706074383649,-4.38665332130088,38.9232497932056,57,298.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-3.050231938139,0.0473479413240978,-2.68296464167249,0.0683601899769598
"Aneides lugubris","Amphibia","Caudata","Plethodontidae","Aneides","lugubris",5,0.005,0.0246092143733935,"W",23,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-5.29831736654804,-3.70463433815278,39.1861115172861,7,296.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-5.01270583553799,0.00665287733767009,-5.4766155356849,0.00418346455144583
