"taxon_name"
"Halobacterium salinarum"
"Thermoanaerobacter kivui"
"Cyclothone acclinidens"
"Cyclothone microdon"
"Stomias atriventer"
"Borostomias panamensis"
"Plecoglossus altivelis"
"Benthalbella elongata"
"Scopelengys tristis"
"Diaphus theta"
"Gymnoscopelus opisthopterus"
"Gymnoscopelus braueri"
"Electrona antarctica"
"Symbolophorus californiensis"
"Tarletonbeania crenularis"
"Triphoturus mexicanus"
"Stenobrachius leucopsarus"
"Parvilux ingens"
"Nannobrachium ritteri"
"Nannobrachium regale"
"Melanonus zugmayeri"
"Lota lota"
"Pollachius pollachius"
"Gadus ogac"
"Gadus chalcogrammus"
"Gadus morhua"
"Boreogadus saida"
"Melanogrammus aeglefinus"
"Coryphaenoides armatus"
"Anoplogaster cornuta"
"Scopelogadus mizolepis"
"Melamphaes acanthomus"
"Poromitra crassiceps"
"Opsanus tau"
"Hippocampus hippocampus"
"Syngnathus acus"
"Dactylopterus volitans"
"Callionymus lyra"
"Cubiceps whiteleggii"
"Chiasmodon niger"
"Pomatomus saltatrix"
"Thunnus alalunga"
"Euthynnus affinis"
"Katsuwonus pelamis"
"Sarda chiliensis"
"Typhlogobius californiensis"
"Gillichthys mirabilis"
"Glossogobius giuris"
"Oligolepis acutipennis"
"Rhinogobiops nicholsii"
"Gobius paganellus"
"Ambassis interrupta"
"Embiotoca lateralis"
"Rhinomugil corsula"
"Mugil cephalus"
"Mugil curema"
"Chelon auratus"
"Chelon richardsonii"
"Chelon dumerili"
"Planiliza macrolepis"
"Neopomacentrus bankieri"
"Neopomacentrus cyanomos"
"Neopomacentrus azysron"
"Pomacentrus coelestis"
"Pomacentrus moluccensis"
"Pomacentrus lepidogenys"
"Chromis ternatensis"
"Chromis atripectoralis"
"Dascyllus reticulatus"
"Dascyllus aruanus"
"Chromis chromis"
"Lipophrys pholis"
"Aphanius dispar"
"Poecilia reticulata"
"Poecilia latipinna"
"Gambusia holbrooki"
"Gambusia affinis"
"Xiphophorus hellerii"
"Fundulus parvipinnis"
"Fundulus grandis"
"Fundulus heteroclitus"
"Fundulus similis"
"Cyprinodon variegatus"
"Oryzias latipes"
"Menidia menidia"
"Rhadinocentrus ornatus"
"Hemichromis bimaculatus"
"Oreochromis niloticus"
"Sarotherodon galilaeus"
"Oreochromis aureus"
"Oreochromis mossambicus"
"Coptodon rendalli"
"Coptodon zillii"
"Pterophyllum scalare"
"Thorichthys meeki"
"Cichlasoma bimaculatum"
"Andinoacara pulcher"
"Echeneis naucrates"
"Coryphaena hippurus"
"Coryphaena equiselis"
"Naucrates ductor"
"Seriola lalandi"
"Seriola quinqueradiata"
"Caranx caballus"
"Caranx hippos"
"Solea solea"
"Scophthalmus rhombus"
"Scophthalmus maximus"
"Citharichthys stigmaeus"
"Microstomus kitt"
"Pseudopleuronectes americanus"
"Pleuronectes platessa"
"Platichthys stellatus"
"Platichthys flesus"
"Parophrys vetulus"
"Limanda limanda"
"Hippoglossoides platessoides"
"Lates calcarifer"
"Synbranchus marmoratus"
"Macrognathus aculeatus"
"Anabas testudineus"
"Trichogaster fasciata"
"Trichopodus trichopterus"
"Trichopodus leerii"
"Osphronemus goramy"
"Channa orientalis"
"Channa punctata"
"Channa striata"
"Channa marulius"
"Echiichthys vipera"
"Epinephelus akaara"
"Centropristis striata"
"Serranus scriba"
"Indonotothenia cyanobrancha"
"Notothenia rossii"
"Notothenia neglecta"
"Notothenia coriiceps"
"Paranotothenia magellanica"
"Harpagifer georgianus"
"Gymnodraco acuticeps"
"Chaenocephalus aceratus"
"Channichthys rhinoceratus"
"Pagetopsis macropterus"
"Pseudochaenichthys georgianus"
"Gobionotothen gibberifrons"
"Trematomus pennellii"
"Trematomus hansoni"
"Trematomus bernacchii"
"Pagothenia borchgrevinki"
"Anarhichas minor"
"Zoarces viviparus"
"Lycodichthys dearborni"
"Melanostigma gelatinosum"
"Melanostigma pammelas"
"Spinachia spinachia"
"Gasterosteus aculeatus"
"Myoxocephalus scorpius"
"Myoxocephalus octodecemspinosus"
"Clinocottus analis"
"Cottus gobio"
"Ophiodon elongatus"
"Scorpaena porcus"
"Sebastes diploproa"
"Sebastolobus altivelis"
"Perca fluviatilis"
"Sander lucioperca"
"Sander vitreus"
"Gymnocephalus cernua"
"Etheostoma blennioides"
"Percina caprodes"
"Maccullochella peelii"
"Pomoxis annularis"
"Lepomis cyanellus"
"Lepomis macrochirus"
"Lepomis gibbosus"
"Micropterus salmoides"
"Micropterus dolomieu"
"Girella nigricans"
"Kuhlia sandvicensis"
"Labrus bergylta"
"Tautogolabrus adspersus"
"Cheilinus fasciatus"
"Scarus schlegeli"
"Stethojulis bandanensis"
"Morone americana"
"Morone saxatilis"
"Dicentrarchus labrax"
"Leiostomus xanthurus"
"Micropogonias undulatus"
"Oneirodes acanthias"
"Melanocetus johnsonii"
"Balistes capriscus"
"Rhinecanthus aculeatus"
"Scolopsis bilineata"
"Lagodon rhomboides"
"Acanthopagrus schlegelii"
"Diplodus sargus"
"Sparus aurata"
"Pomadasys commersonnii"
"Rhomboplites aurorubens"
"Lutjanus campechanus"
"Carapus homei"
"Coregonus autumnalis"
"Coregonus clupeaformis"
"Coregonus sardinella"
"Thymallus arcticus"
"Salmo salar"
"Salvelinus fontinalis"
"Salvelinus alpinus"
"Salvelinus namaycush"
"Oncorhynchus nerka"
"Oncorhynchus gorbuscha"
"Oncorhynchus kisutch"
"Oncorhynchus tshawytscha"
"Oncorhynchus mykiss"
"Esox masquinongy"
"Esox lucius"
"Lipolagus ochotensis"
"Bathylagoides wesethi"
"Leuroglossus stilbius"
"Bathylagus antarcticus"
"Pseudobathylagus milleri"
"Bajacalifornia burragei"
"Sagamichthys abei"
"Chanos chanos"
"Labeobarbus aeneus"
"Cirrhinus cirrhosus"
"Labeo calbasu"
"Labeo rohita"
"Ctenopharyngodon idella"
"Gobio gobio"
"Leuciscus leuciscus"
"Leuciscus idus"
"Notemigonus crysoleucas"
"Abramis brama"
"Scardinius erythrophthalmus"
"Alburnus alburnus"
"Leucaspius delineatus"
"Squalius cephalus"
"Rutilus rutilus"
"Orthodon microlepidotus"
"Campostoma anomalum"
"Pimephales vigilax"
"Pimephales promelas"
"Cyprinella lutrensis"
"Hybognathus nuchalis"
"Tinca tinca"
"Rhodeus sericeus"
"Rhodeus amarus"
"Esomus danrica"
"Danio rerio"
"Cyprinus carpio"
"Carassius carassius"
"Carassius auratus"
"Spinibarbus sinensis"
"Epalzeorhynchos frenatum"
"Catostomus commersonii"
"Catostomus tahoensis"
"Erimyzon oblongus"
"Lepidocephalichthys guntea"
"Misgurnus fossilis"
"Hoplerythrinus unitaeniatus"
"Leporinus fasciatus"
"Colossoma macropomum"
"Exodon paradoxus"
"Mystus cavasius"
"Mystus vittatus"
"Clarias batrachus"
"Heteropneustes fossilis"
"Ameiurus natalis"
"Ameiurus nebulosus"
"Ameiurus melas"
"Ictalurus punctatus"
"Chiromantis petersii"
"Pelophylax lessonae"
"Hylarana erythraea"
"Hylarana chalconota"
"Indosylvirana nicobariensis"
"Rana muscosa"
"Rana arvalis"
"Rana temporaria"
"Lithobates berlandieri"
"Lithobates palustris"
"Lithobates pipiens"
"Lithobates sylvaticus"
"Lithobates catesbeianus"
"Lithobates clamitans"
"Lithobates virgatipes"
"Sminthopsis crassicaudata"
"Sminthopsis macroura"
"Antechinomys laniger"
"Phoca groenlandica"
"Phoca vitulina"
"Mephitis mephitis"
"Spilogale putorius"
"Ailurus fulgens"
"Bassariscus sumichrasti"
"Nasua narica"
"Potos flavus"
"Neogale vison"
"Mustela frenata"
"Mustela erminea"
"Enhydra lutris"
"Martes americana"
"Eira barbara"
"Taxidea taxus"
"Cerdocyon thous"
"Canis mesomelas"
"Vulpes zerda"
"Vulpes cana"
"Vulpes macrotis"
"Vulpes lagopus"
"Vulpes vulpes"
"Nandinia binotata"
"Panthera leo"
"Panthera tigris"
"Leptailurus serval"
"Leopardus pardalis"
"Leopardus wiedii"
"Puma yagouaroundi"
"Puma concolor"
"Proteles cristata"
"Galerella sanguinea"
"Urva javanica"
"Suricata suricatta"
"Fossa fossana"
"Genetta tigrina"
"Arctogalidia trivirgata"
"Arctictis binturong"
"Paradoxurus hermaphroditus"
"Manis pentadactyla"
"Manis javanica"
"Eonycteris spelaea"
"Pteropus scapulatus"
"Pteropus poliocephalus"
"Pteropus pumilus"
"Pteropus vampyrus"
"Pteropus giganteus"
"Pteropus rodricensis"
"Pteropus hypomelanus"
"Miniopterus schreibersii"
"Nycticeius humeralis"
"Histiotus velatus"
"Chalinolobus gouldii"
"Nyctophilus geoffroyi"
"Dasypterus intermedius"
"Aeorestes cinereus"
"Lasiurus borealis"
"Lasiurus seminolus"
"Myotis vivesi"
"Pedetes capensis"
"Zapus hudsonius"
"Napaeozapus insignis"
"Jaculus jaculus"
"Jaculus orientalis"
"Nannospalax leucodon"
"Cannomys badius"
"Tachyoryctes splendens"
"Mystromys albicaudatus"
"Cricetomys gambianus"
"Saccostomus campestris"
"Steatomys pratensis"
"Thallomys paedulcus"
"Rattus fuscipes"
"Rattus lutreolus"
"Meriones tristrami"
"Gerbillus nanus"
"Dipodillus dasyurus"
"Gerbillus andersoni"
"Desmodillus auricularis"
"Gerbilliscus leucogaster"
"Gerbilliscus afra"
"Gerbillurus paeba"
"Gerbillurus vallinus"
"Gerbillurus setzeri"
"Gerbillurus tytonis"
"Acomys spinosissimus"
"Acomys subspinosus"
"Hydromys chrysogaster"
"Conilurus penicillatus"
"Uromys caudimaculatus"
"Notomys cervinus"
"Notomys alexis"
"Pseudomys gracilicaudatus"
"Myotomys unisulcatus"
"Myotomys sloggetti"
"Parotomys brantsii"
"Otomys irroratus"
"Rhabdomys pumilio"
"Lemniscomys griselda"
"Micaelamys namaquensis"
"Apodemus mystacinus"
"Apodemus witherbyi"
"Apodemus sylvaticus"
"Mastomys natalensis"
"Mus musculus"
"Rattus villosissimus"
"Rattus colletti"
"Rattus sordidus"
"Pseudomys hermannsburgensis"
"Sigmodon hispidus"
"Akodon azarae"
"Abrothrix andinus"
"Abrothrix olivaceus"
"Abrothrix longipilis"
"Calomys musculinus"
"Calomys venustus"
"Eligmodontia typus"
"Graomys griseoflavus"
"Loxodontomys micropus"
"Auliscomys boliviensis"
"Phyllotis magister"
"Phyllotis darwini"
"Oligoryzomys longicaudatus"
"Phodopus sungorus"
"Phodopus campbelli"
"Cricetulus migratorius"
"Mesocricetus auratus"
"Ondatra zibethicus"
"Neofiber alleni"
"Microtus guentheri"
"Myodes californicus"
"Dicrostonyx groenlandicus"
"Phenacomys intermedius"
"Arborimus pomo"
"Lemmus trimucronatus"
"Myopus schisticolor"
"Myodes glareolus"
"Myodes gapperi"
"Microtus breweri"
"Arvicola amphibius"
"Lemmiscus curtatus"
"Chionomys roberti"
"Chionomys nivalis"
"Microtus oeconomus"
"Microtus subterraneus"
"Microtus cabrerae"
"Microtus ochrogaster"
"Microtus longicaudus"
"Microtus montanus"
"Microtus pennsylvanicus"
"Microtus richardsoni"
"Microtus xanthognathus"
"Microtus pinetorum"
"Microtus agrestis"
"Baiomys taylori"
"Scotinomys xerampelinus"
"Scotinomys teguina"
"Peromyscus truei"
"Peromyscus maniculatus"
"Peromyscus leucopus"
"Peromyscus eremicus"
"Peromyscus californicus"
"Isthmomys pirrensis"
"Neotoma fuscipes"
"Neotoma lepida"
"Chaetodipus hispidus"
"Chaetodipus baileyi"
"Chaetodipus californicus"
"Chaetodipus fallax"
"Chaetodipus intermedius"
"Perognathus flavus"
"Perognathus longimembris"
"Coendou prehensilis"
"Cuniculus paca"
"Dolichotis salinicola"
"Kerodon rupestris"
"Galea musteloides"
"Cavia porcellus"
"Myoprocta acouchy"
"Dasyprocta leporina"
"Chinchilla lanigera"
"Thrichomys apereoides"
"Myocastor coypus"
"Proechimys semispinosus"
"Capromys pilorides"
"Ctenomys opimus"
"Ctenomys fulvus"
"Ctenomys maulinus"
"Ctenomys talarum"
"Ctenomys australis"
"Octomys mimax"
"Tympanoctomys barrerae"
"Octodontomys gliroides"
"Octodon degus"
"Spalacopus cyanus"
"Aconaemys fuscus"
"Heliophobius argenteocinereus"
"Cryptomys hottentotus"
"Fukomys darlingi"
"Fukomys damarensis"
"Fukomys bocagei"
"Fukomys mechowii"
"Bathyergus suillus"
"Bathyergus janetta"
"Georychus capensis"
"Heterocephalus glaber"
"Microgale dobsoni"
"Microgale talazaci"
"Microgale cowani"
"Limnogale mergulus"
"Geogale aurita"
"Tarentola mauritanica"
"Garthia gaudichaudii"
"Boa constrictor"
"Corallus caninus"
"Eunectes notaeus"
"Eunectes murinus"
"Epicrates cenchria"
"Chironius quadricarinatus"
"Salvadora hexalepis"
"Ctenophorus nuchalis"
"Pogona barbata"
"Acanthodactylus opheodurus"
"Acanthodactylus schreiberi"
"Acanthodactylus schmidti"
"Acanthodactylus scutellatus"
"Eudyptes pachyrhynchus"
"Megadyptes antipodes"
"Spheniscus humboldti"
"Eudyptula minor"
"Procellaria aequinoctialis"
"Procellaria cinerea"
"Buteo buteo"
"Otus scops"
"Upupa epops"
"Melanerpes formicivorus"
"Merops viridis"
"Mareca penelope"
"Mareca strepera"
"Anas crecca"
"Anas acuta"
"Blatta orientalis"
"Periplaneta americana"
"Schedorhinotermes sarawakensis"
"Macrotermes carbonarius"
"Macrotermes malaccensis"
"Macrotermes gilvus"
"Homallotermes eleanorae"
"Pericapritermes nitobei"
"Dicuspiditermes nemorosus"
"Dicuspiditermes santschii"
"Prohamitermes mirabilis"
"Globitermes globosus"
"Termes borneensis"
"Microcerotermes dubius"
"Microcerotermes serrula"
"Havilanditermes atripennis"
"Hospitalitermes hospitalis"
"Nasutitermes longinasus"
"Reticulitermes flavipes"
"Heterotermes tenuior"
"Coptotermes formosanus"
"Blaberus giganteus"
"Blaberus discoidalis"
"Eublaberus posticus"
"Nauphoeta cinerea"
"Rhyparobia maderae"
"Gromphadorhina portentosa"
"Karoophasma biedouwense"
"Pogonomyrmex maricopa"
"Pogonomyrmex rugosus"
"Myrmica rubra"
"Myrmica alaskensis"
"Camponotus sp."
"Camponotus vicinus"
"Camponotus laevigatus"
"Physadesmia globosa"
"Onymacris rugatipennis"
"Onymacris laeviceps"
"Onymacris unguicularis"
"Onymacris plana"
"Pleocoma australis"
"Sisyphus fasciculatus"
"Anachalcos convexus"
"Circellium bacchus"
"Pachysoma hippocrates"
"Pachysoma gariepinus"
"Aphodius fimetarius"
"Aphodius contaminatus"
"Aphodius rufus"
"Geotrupes spiniger"
"Odontotaenius disjunctus"
"Hylesia praeda"
"Automeris fieldi"
"Philaenus spumarius"
"Neophilaenus lineatus"
"Munidopsis verrilli"
"Paralomis multispina"
"Coenobita compressus"
"Maja squinado"
"Xantho hydrophilus"
"Panopeus herbstii"
"Callinectes sapidus"
"Scylla serrata"
"Menippe mercenaria"
"Austrothelphusa transversa"
"Metacarcinus magister"
"Cancer pagurus"
"Gecarcoidea natalis"
"Pachygrapsus marmoratus"
"Euphausia superba"
"Euphausia crystallorophias"
"Euphausia pacifica"
"Thysanoessa macrura"
"Thysanoessa inermis"
"Enteroctopus dofleini"
"Bolitaena pygmaea"
"Japetella diaphana"
"Gaussia princeps_H.Wendl."
