"class","order","family","Genus","species","wet_Mass_g","wet_Mass_kg","temperature","temperature_unit","Reference","taxon_name","pc1","pc2","pc3","pc4","pc5","log_mass","log_BMR","inv_kT","row_id","Species","temp_K","in_phylogeny","y_fitted_log_BMR","residual_log_BMR"
"Amphibia","Caudata","Ambystomatidae","Ambystoma","laterale",4,0.004,21,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).","Ambystoma laterale",-5161.75961412521,3001.3884308578,9.63443467555201,-0.806028876738105,-0.0021049370118414,-5.52146091786225,-4.59412034980151,39.4525477676161,0,"Ambystoma laterale",294.15,TRUE,-5.28016057269451,0.686040222892998
"Amphibia","Caudata","Ambystomatidae","Ambystoma","macrodactylum",2,0.002,15,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).","Ambystoma macrodactylum",-5161.75961412521,3001.3884308578,9.63443467555201,-0.806028876738105,-0.0021049370118414,-6.21460809842219,-6.43083120689183,40.2740479814134,1,"Ambystoma macrodactylum",288.15,TRUE,-6.38416495450631,-0.0466662523855206
"Amphibia","Anura","Bufonidae","Anaxyrus","boreas",25,0.025,26,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).","Anaxyrus boreas",-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.0029329313331031,-3.68887945411394,-1.68619897356756,38.7931369742412,2,"Anaxyrus boreas",299.15,TRUE,-3.4129460519958,1.72674707842824
"Amphibia","Anura","Bufonidae","Anaxyrus","boreas",47,0.047,20,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).","Anaxyrus boreas",-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.0029329313331031,-3.05760767727208,-1.75029767942046,39.5871292029482,3,"Anaxyrus boreas",293.15,TRUE,-3.4797165873486,1.72941890792814
"Amphibia","Anura","Bufonidae","Anaxyrus","boreas",58,0.058,20,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).","Anaxyrus boreas",-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.0029329313331031,-2.84731226843572,-1.41172613571209,39.5871292029482,4,"Anaxyrus boreas",293.15,TRUE,-3.3180581551225,1.90633201941041
"Amphibia","Anura","Bufonidae","Anaxyrus","retiformis",10,0.01,26,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).","Anaxyrus retiformis",-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.0029329313331031,-4.60517018598809,-2.21640739675299,38.7931369742412,5,"Anaxyrus retiformis",299.15,TRUE,-4.11731769756675,1.90091030081376
"Amphibia","Caudata","Plethodontidae","Batrachoseps","attenuatus",1,0.001,23,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).","Batrachoseps attenuatus",-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.0029329313331031,-6.90775527898214,-5.90630673876768,39.1861115172861,6,"Batrachoseps attenuatus",296.15,TRUE,-6.16058751587416,0.254280777106472
"Amphibia","Caudata","Plethodontidae","Bolitoglossa","occidentalis",1,0.001,15,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).","Bolitoglossa occidentalis",-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.0029329313331031,-6.90775527898214,-7.40023176407995,40.2740479814134,7,"Bolitoglossa occidentalis",288.15,TRUE,-6.91700153487339,-0.483230229206557
"Amphibia","Caudata","Plethodontidae","Desmognathus","quadramaculatus",28,0.028,21,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).","Desmognathus quadramaculatus",-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.0029329313331031,-3.57555076880693,-4.42284862919414,39.4525477676161,8,"Desmognathus quadramaculatus",294.15,TRUE,-3.78429917614864,-0.638549453045494
"Amphibia","Anura","Alytidae","Discoglossus","pictus",31,0.031,20,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).","Discoglossus pictus",-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.0029329313331031,-3.47376807449699,-3.0924879420183,39.5871292029482,9,"Discoglossus pictus",293.15,TRUE,-3.79962769592787,0.707139753909567
