"class","order","family","Genus","species","wet_Mass_g","wet_Mass_kg","temperature","temperature_unit","Reference","taxon_name","pc1","pc2","pc3","pc4","pc5","log_mass","log_BMR","inv_kT","row_id","Species","temp_K","in_phylogeny","y_fitted_log_BMR","residual_log_BMR"
"Amphibia","Caudata","Ambystomatidae","Ambystoma","jeffersonianum",8.9199999999999,0.0089199999999999,15,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Ambystoma jeffersonianum",-3215.20391100819,4101.75813902701,1649.98993685957,-202.484664261276,-3245.86629803614,-2.04963514562388,-2.75516891946228,40.2740479814134,0,"Ambystoma jeffersonianum",288.15,TRUE,-1.73543769187411,-1.01973122758818
"Amphibia","Caudata","Ambystomatidae","Ambystoma","tigrinum",10.78,0.01078,15,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Ambystoma tigrinum",-3215.20391100819,4101.75813902701,1649.98993685957,-202.484664261276,-3245.86629803614,-1.96738123914928,-3.11612289043026,40.2740479814134,1,"Ambystoma tigrinum",288.15,TRUE,-1.67670469958651,-1.43941819084375
"Amphibia","Anura","Bufonidae","Anaxyrus","boreas",57.8,0.0578,20,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Anaxyrus boreas",-2756.04765077888,216.103477442877,-1994.14460240561,-588.522102691723,179.228358371418,-1.23807216157947,-2.23375078779683,39.5871292029482,2,"Anaxyrus boreas",293.15,TRUE,-1.03032773168042,-1.20342305611641
"Amphibia","Anura","Bufonidae","Anaxyrus","terrestris",19.8,0.0198,25,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Anaxyrus terrestris",-2756.04765077888,216.103477442877,-1994.14460240561,-588.522102691723,179.228358371418,-1.70333480973847,-1.9046841642932,38.9232497932056,3,"Anaxyrus terrestris",298.15,TRUE,-1.24114198549586,-0.663542178797344
"Amphibia","Caudata","Plethodontidae","Aneides","ferreus",2.73,0.00273,15,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Aneides ferreus",-3215.20391100819,4101.75813902701,1649.98993685957,-202.484664261276,-3245.86629803614,-2.56383735295924,-3.38486040566607,40.2740479814134,4,"Aneides ferreus",288.15,TRUE,-2.10260121725658,-1.2822591884095
"Amphibia","Anura","Bufonidae","Bufo","bufo",76.1299999999999,0.0761299999999999,15,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Bufo bufo",-2756.04765077888,216.103477442877,-1994.14460240561,-588.522102691723,179.228358371418,-1.11844417020669,-1.80038083524393,40.2740479814134,5,"Bufo bufo",288.15,TRUE,-1.07052541327797,-0.729855421965958
"Amphibia","Anura","Dendrobatidae","Dendrobates","auratus",11,0.011,25,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Dendrobates auratus",-2756.04765077888,216.103477442877,-1994.14460240561,-588.522102691723,179.228358371418,-1.95860731484178,-2.48439105076553,38.9232497932056,6,"Dendrobates auratus",298.15,TRUE,-1.42341804648876,-1.06097300427678
"Amphibia","Anura","Alytidae","Discoglossus","pictus",101.25,0.10125,20,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Discoglossus pictus",-2756.04765077888,216.103477442877,-1994.14460240561,-588.522102691723,179.228358371418,-0.994604968113294,-2.13727247168203,39.5871292029482,7,"Discoglossus pictus",293.15,TRUE,-0.856481194670677,-1.28079127701135
"Amphibia","Anura","Hylidae","Dryophytes","gratiosus",1.15,0.00115,29,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Dryophytes gratiosus",-2756.04765077888,216.103477442877,-1994.14460240561,-588.522102691723,179.228358371418,-2.93930215964639,-3.15326094940383,38.4079659965059,8,"Dryophytes gratiosus",302.15,TRUE,-2.02944790645331,-1.12381304295052
"Amphibia","Anura","Hylidae","Dryophytes","squirellus",2.27,0.00227,27,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Dryophytes squirellus",-2756.04765077888,216.103477442877,-1994.14460240561,-588.522102691723,179.228358371418,-2.64397414280688,-3.30551764920227,38.6638911405773,9,"Dryophytes squirellus",300.15,TRUE,-1.86537166740738,-1.44014598179489
