scope,class,b,se,ci95_low,ci95_high,n_rows,n_species,temp_coef,model,intercept
pooled,All Animals,0.9090283522601111,0.006612436918517796,0.8960679758998162,0.921988728620406,4063,1277,-0.3582483667237324,M2: log_BMR ~ log_mass + inv_kT,
reference,MTE theoretical reference,0.75,,,,4063,1277,,MTE fixed b = 0.75,
class,Aves,0.5864964531944177,0.012811603910180686,0.5613857095304635,0.6116071968583718,285,252,0.08476260836158134,M2: log_BMR ~ log_mass + inv_kT,-2.7549136934784753
class,Mammalia,0.7090839907192446,0.004932434017675929,0.6994164200445997,0.7187515613938894,1138,492,0.01693052700083375,M2: log_BMR ~ log_mass + inv_kT,-0.20265800567762898
class,Malacostraca,0.7532760533484784,0.02811609204832407,0.6981685129337631,0.8083835937631936,106,40,-0.12220330305410831,M2: log_BMR ~ log_mass + inv_kT,3.910846606548276
class,Reptilia,0.7852339185455739,0.030568768983437185,0.725319131338037,0.8451487057531107,91,91,-0.3483755257476704,M2: log_BMR ~ log_mass + inv_kT,12.78393164573439
class,Amphibia,0.7942575881168799,0.039370687546779776,0.7170910405251915,0.8714241357085682,100,100,-0.28740535767530717,M2: log_BMR ~ log_mass + inv_kT,10.33765283129493
class,Cephalopoda,0.7969060123815244,0.15491904843364532,0.49326467745157954,1.100547347311469,11,11,,M2: log_BMR ~ log_mass + inv_kT,-0.824174794351998
class,Teleostei,0.8296789741774718,0.0068220449604996965,0.8163077660548924,0.8430501823000512,2224,184,-0.1698636246826013,M2: log_BMR ~ log_mass + inv_kT,6.2146656688491335
class,Insecta,0.8536190943933016,0.04091901067075994,0.7734178334786121,0.9338203553079911,108,107,,M2: log_BMR ~ log_mass + inv_kT,-0.1336791571917475
