species	accuracy
Gasterosteus aculeatus	0.998651
Cricetulus migratorius	0.998623
Phoebetria fusca	0.997118
Mormoops megalophylla	0.996840
Natalus tumidirostris	0.996699
Anthracothorax nigricollis	0.995400
Geomys pinetis	0.994868
Echymipera kalubu	0.994296
Chrotopterus auritus	0.994233
Cystosoma saundersii	0.993316
Gastrophryne carolinensis	0.991408
Cinnyris venustus	0.988644
Vipera berus	0.988529
Microtus pinetorum	0.987092
Dobsonia praedatrix	0.986539
Crocidura viaria	0.984216
Octodontomys gliroides	0.982963
Calamospiza melanocorys	0.982744
Xylophanes chiron	0.982609
Fulica atra	0.982503
Orthodon microlepidotus	0.982463
Psophodes olivaceus	0.982323
Bathyporeia pilosa	0.981840
Tamias merriami	0.981517
Graphiurus ocularis	0.980832
Cuniculus paca	0.980079
Sminthopsis crassicaudata	0.978106
Misgurnus fossilis	0.977400
Bettongia gaimardi	0.977050
Chaetodipus hispidus	0.976426
Pteropus hypomelanus	0.974027
Ammospermophilus leucurus	0.972478
Taeniopygia guttata	0.968106
Esox lucius	0.967657
Eublaberus posticus	0.967434
Pantophthalmus tabaninus	0.967295
Perameles gunnii	0.965804
Macroderma gigas	0.962401
Reticulitermes flavipes	0.957977
Planigale ingrami	0.955586
Hirundo tahitica	0.955384
Didelphis marsupialis	0.952211
Pteropus poliocephalus	0.951476
Vulpes macrotis	0.950911
Cyprinodon variegatus	0.948995
Spalacopus cyanus	0.948971
Centropus senegalensis	0.948855
Manacus vitellinus	0.948004
Proteles cristata	0.947204
Natrix maura	0.947080
Pseudomys gracilicaudatus	0.946615
Python sebae	0.946278
Macrobrachium heterochirus	0.943542
Erinaceus europaeus	0.943042
Hylarana chalconota	0.942179
Cabassous centralis	0.941569
Artibeus jamaicensis	0.939533
Chironius quadricarinatus	0.938570
Tamandua tetradactyla	0.938276
Tragulus javanicus	0.937796
Poecilia latipinna	0.935489
Lepus alleni	0.933245
Chalcides ocellatus	0.930972
Choloepus hoffmanni	0.929224
Xerus princeps	0.926871
Larvivora cyane	0.926868
Philodryas olfersii	0.924750
Ctenomys talarum	0.921770
Thomomys talpoides	0.920367
Chinchilla lanigera	0.919303
Pteropus pumilus	0.915817
Chloropsis sonnerati	0.915198
Pteropus scapulatus	0.911398
Acipenser nudiventris	0.911142
Podarcis lilfordi	0.903541
Rattus villosissimus	0.903538
Myotis vivesi	0.903354
Lutjanus campechanus	0.903315
Aglaeactis cupripennis	0.902133
Microtus subterraneus	0.901445
Akodon azarae	0.899692
Gerbilliscus leucogaster	0.899541
Conilurus penicillatus	0.898817
Sander lucioperca	0.898815
Diaemus youngi	0.898733
Hydromys chrysogaster	0.896359
Eopsaltria australis	0.895859
Elephantulus edwardii	0.895025
Pycnonotus jocosus	0.893024
Spea bombifrons	0.888967
Otolemur crassicaudatus	0.887265
Syngnathus acus	0.887241
Trimerotropis saxatilis	0.884230
Dolichotis salinicola	0.882720
Pseudoeurycea gadovii	0.882150
Microgale talazaci	0.880332
Antechinus swainsonii	0.880246
Eonycteris spelaea	0.879444
Paranyctimene raptor	0.875719
Amazona viridigenalis	0.870074
Lasiurus seminolus	0.867415
Dipodomys panamintinus	0.867379
Xerus inauris	0.865175
Myrmica rubra	0.865098
Neofiber alleni	0.858705
Acridotheres tristis	0.855333
Eulampis jugularis	0.850294
Mephitis mephitis	0.849488
Otomys irroratus	0.847484
Gymnodraco acuticeps	0.846496
Galerella sanguinea	0.845157
Zaglossus bruijni	0.843820
Anolis acutus	0.842032
Plasmodium knowlesi	0.841374
Pycnonotus goiavier	0.839995
Plethodon cinereus	0.839614
Pedetes capensis	0.838900
Raphicerus campestris	0.838672
Rutilus rutilus	0.836473
Bolitoglossa subpalmata	0.834880
Aotus trivirgatus	0.832895
Paraxerus cepapi	0.829487
